Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Selection, [I], 10, Unsorted, 2550
Selection, [I], 10, Sorted, -150
Bubble, [I], 10, Unsorted, 1031950
Bubble, [I], 10, Sorted, 1250
Insertion, [I], 10, Unsorted, 691250
Insertion, [I], 10, Sorted, 350
Merge, [I], 10, Unsorted, -450
Merge, [I], 10, Sorted, -350
Quick, [I], 10, Unsorted, -350
Quick, [I], 10, Sorted, -150
Heap, [I], 10, Unsorted, 1050
Heap, [I], 10, Sorted, 150
Shell, [I], 10, Unsorted, 1038850
Shell, [I], 10, Sorted, 1050
Radix, [I], 10, Unsorted, 842650
Radix, [I], 10, Sorted, 6150
Selection, [D], 10, Unsorted, -550
Selection, [D], 10, Sorted, -550
Bubble, [D], 10, Unsorted, 6550
Bubble, [D], 10, Sorted, 1050
Insertion, [D], 10, Unsorted, 3850
Insertion, [D], 10, Sorted, 850
Merge, [D], 10, Unsorted, -550
Merge, [D], 10, Sorted, -350
Quick, [D], 10, Unsorted, 150
Quick, [D], 10, Sorted, -450
Heap, [D], 10, Unsorted, -550
Heap, [D], 10, Sorted, -550
Shell, [D], 10, Unsorted, 5050
Shell, [D], 10, Sorted, 950
Radix, [D], 10, Unsorted, 49550
Radix, [D], 10, Sorted, 36550
Selection, [Ljava.lang.String;], 10, Unsorted, 350
Selection, [Ljava.lang.String;], 10, Sorted, -150
Bubble, [Ljava.lang.String;], 10, Unsorted, 22950
Bubble, [Ljava.lang.String;], 10, Sorted, 6050
Insertion, [Ljava.lang.String;], 10, Unsorted, 22750
Insertion, [Ljava.lang.String;], 10, Sorted, 2150
Merge, [Ljava.lang.String;], 10, Unsorted, 50
Merge, [Ljava.lang.String;], 10, Sorted, 1750
Quick, [Ljava.lang.String;], 10, Unsorted, 250
Quick, [Ljava.lang.String;], 10, Sorted, 250
Heap, [Ljava.lang.String;], 10, Unsorted, -50
Heap, [Ljava.lang.String;], 10, Sorted, 250
Shell, [Ljava.lang.String;], 10, Unsorted, 61450
Shell, [Ljava.lang.String;], 10, Sorted, 32650
Radix, [Ljava.lang.String;], 10, Unsorted, 305050
Radix, [Ljava.lang.String;], 10, Sorted, 1093250
Selection, [I], 100, Unsorted, -150
Selection, [I], 100, Sorted, -350
