Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Selection, [I], 10, Unsorted, 3450
Selection, [I], 10, Sorted, -150
Bubble, [I], 10, Unsorted, -450
Bubble, [I], 10, Sorted, -450
Insertion, [I], 10, Unsorted, -450
Insertion, [I], 10, Sorted, -550
Merge, [I], 10, Unsorted, -550
Merge, [I], 10, Sorted, -550
Quick, [I], 10, Unsorted, -550
Quick, [I], 10, Sorted, -550
Heap, [I], 10, Unsorted, -450
Heap, [I], 10, Sorted, -450
Shell, [I], 10, Unsorted, 881450
Shell, [I], 10, Sorted, 2950
Radix, [I], 10, Unsorted, 967250
Radix, [I], 10, Sorted, 10850
Selection, [D], 10, Unsorted, -150
Selection, [D], 10, Sorted, -650
Bubble, [D], 10, Unsorted, -550
Bubble, [D], 10, Sorted, -550
Insertion, [D], 10, Unsorted, -550
Insertion, [D], 10, Sorted, -550
Merge, [D], 10, Unsorted, -450
Merge, [D], 10, Sorted, -550
Quick, [D], 10, Unsorted, -550
Quick, [D], 10, Sorted, -550
Heap, [D], 10, Unsorted, -550
Heap, [D], 10, Sorted, -550
Shell, [D], 10, Unsorted, 7850
Shell, [D], 10, Sorted, 3550
Radix, [D], 10, Unsorted, 96850
Radix, [D], 10, Sorted, 109650
Selection, [Ljava.lang.String;], 10, Unsorted, -50
Selection, [Ljava.lang.String;], 10, Sorted, -450
Bubble, [Ljava.lang.String;], 10, Unsorted, 150
Bubble, [Ljava.lang.String;], 10, Sorted, -350
Insertion, [Ljava.lang.String;], 10, Unsorted, -250
Insertion, [Ljava.lang.String;], 10, Sorted, -450
Merge, [Ljava.lang.String;], 10, Unsorted, -550
Merge, [Ljava.lang.String;], 10, Sorted, -450
Quick, [Ljava.lang.String;], 10, Unsorted, -450
Quick, [Ljava.lang.String;], 10, Sorted, -350
Heap, [Ljava.lang.String;], 10, Unsorted, -450
Heap, [Ljava.lang.String;], 10, Sorted, -50
Shell, [Ljava.lang.String;], 10, Unsorted, 119350
Shell, [Ljava.lang.String;], 10, Sorted, 163250
Radix, [Ljava.lang.String;], 10, Unsorted, 485650
Radix, [Ljava.lang.String;], 10, Sorted, 267450
Selection, [I], 100, Unsorted, 2650
Selection, [I], 100, Sorted, -250
Bubble, [I], 100, Unsorted, -450
Bubble, [I], 100, Sorted, -550
Insertion, [I], 100, Unsorted, 150
Insertion, [I], 100, Sorted, -250
Merge, [I], 100, Unsorted, -450
Merge, [I], 100, Sorted, -150
Quick, [I], 100, Unsorted, -350
Quick, [I], 100, Sorted, -450
Heap, [I], 100, Unsorted, -350
Heap, [I], 100, Sorted, -350
Shell, [I], 100, Unsorted, 79650
Shell, [I], 100, Sorted, 39050
Radix, [I], 100, Unsorted, 77650
Radix, [I], 100, Sorted, 75250
Selection, [D], 100, Unsorted, 50
Selection, [D], 100, Sorted, -350
Bubble, [D], 100, Unsorted, -450
Bubble, [D], 100, Sorted, -550
Insertion, [D], 100, Unsorted, -450
Insertion, [D], 100, Sorted, -450
